topid,product_name,brand,topcolor,gender,weather,distance,price,allergies,ecofriendly,top_sleeves,top_length,top_preference,preferencescore,description,image,link
1,Rab Men's Force Tee,rab,"gray,beige,blue,red,yellow","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",45,polyester,no,short,hip_length,"lightweight,sun_protection,quick_dry",7.8516,"Stay cool and protected with the Rab Men's Force Tee—a lightweight, breathable performance shirt designed for hiking, climbing, and high-output activities. Featuring UPF protection to shield against harmful UV rays and Motiv™ fabric for moisture-wicking comfort, this slim-fit tee works great as a standalone layer in the heat or as a base layer in cooler conditions. Stylish and functional, it’s ready for both trail adventures and casual wear. #running #hiking #outdoorgear",https://m.media-amazon.com/images/I/51z6aedn7LL._AC_SX679_.jpg,https://amzn.to/4lt6CoL
2,TLRUN Men's Running Tank - Ultra Lightweight,tlrun,"blue,red,gray,yellow,black,pink,orange","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",17,polyester,no,no_sleeves,hip_length,"reflective_details,lightweight,quick_dry",8.7289,"TLRUN Men's Running Tank – Ultra Lightweight, breathable, and moisture-wicking with a grid-textured quick-dry fabric. Features flat-lock stitching to prevent chafing, 360° reflective details for visibility, and a barely-there feel for maximum comfort during running, workouts, and sports.",https://m.media-amazon.com/images/I/71WgNuQfFuL._AC_SY741_.jpg,https://amzn.to/4iN8qXV
3,Nike Men's Breathe Running T-Shirt,nike,"black,beige","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",35,none,no,short,hip_length,"lightweight,quick_dry",8.6668,Nike Breathe Running T-Shirt made from Dri-FIT mesh fabric for lightweight breathability and moisture control during runs.,https://m.media-amazon.com/images/I/51+Th+BsJ2L._AC_SX679_.jpg,https://amzn.to/4jiPVu7
4,Nike Men's Long Sleeve Shirt,nike,"blue,red,gray","mens,non_binary","cold,windy,rainy","minimum,medium",36,polyester,no,long,hip_length,"lightweight,quick_dry",10.2662,"Nike Men's Legend Long Sleeve Tee featuring Dri-FIT technology and a relaxed fit, ideal for comfortable workouts.",https://m.media-amazon.com/images/I/81HtENCHzHL._AC_SX679_.jpg,https://amzn.to/4i49jtQ
5,Brooks Luxe Short Sleeve,brooks,"gray,blue,black","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",50,"polyester,spandex",no,short,hip_length,"quick_dry,anti_odor",7.9601,"Brooks Men's Luxe Short Sleeve running shirt featuring ultra-soft GO₂ Soft™ fabric, moisture-wicking properties, and a semi-fitted design for optimal comfort.",https://m.media-amazon.com/images/I/71JTDzdmTCL._AC_SX679_.jpg,https://amzn.to/4j072RI
6,adidas Men's Essentials Feelready Training T-Shirt,adidas,"black,white,red,orange,gray,blue,green,yellow","mens,non_binary","hot,windy,rainy,humid","minimum,medium",19,"polyester,cotton",no,short,hip_length,quick_dry,9.515,"Adidas Men's Essentials Training T-Shirt made with recycled materials, featuring Aeroready technology for moisture-wicking and a regular fit.",https://m.media-amazon.com/images/I/41Dn3oQ2PAL._AC_SX679_.jpg,https://amzn.to/3FSdGLh
7,New Balance Men's Athletics T-Shirt,new_balance,"green,black,blue,white,beige,red","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",40,polyester,yes,short,hip_length,"quick_dry,lightweight",6.3852,"New Balance Men's Athletics T-Shirt in Dark Olivine, crafted from 95% recycled polyester and 5% polyester, offering an athletic fit with NB ICEx fast-drying technology for superior comfort during workouts.",https://m.media-amazon.com/images/I/71L0E7h1cqL._AC_SX679_.jpg,https://amzn.to/4jp85uq
8,Under Armour Men's Tech 2.0 Short-Sleeve T-Shirt,under_armour,"black,yellow,red,green,beige,black,gray,blue,pink,orange,white","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",15,polyester,no,short,hip_length,"quick_dry,lightweight,anti_odor",9.649,"Under Armour Men's Tech 2.0 Short-Sleeve T-Shirt, made from 100% polyester with quick-drying technology, designed for comfort and performance during workouts.",https://m.media-amazon.com/images/I/51FKycqF0yS._AC_SX679_.jpg,https://amzn.to/3RzPoIe
9,CRZ YOGA Mens Lightweight Athletic T-Shirt,crz_yoga,"black,blue,white,beige,gray","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",26,polyester,no,short,"hip_length,long","lightweight,quick_dry",8.77,"CRZ YOGA Men's Lightweight Athletic T-Shirt, crafted from 92% polyester and 8% spandex for a soft and flexible fit, perfect for running and workouts.",https://m.media-amazon.com/images/I/81LhYxjl0PL._AC_SX569_.jpg,https://amzn.to/42gnar4
10,PUMA Men's Run Favorite Singlet,puma,"blue,black,yellow,gray,red","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",21,polyester,yes,no_sleeves,hip_length,"reflective_details,lightweight,quick_dry",7.6109,"PUMA Men's Run Favorite Singlet, crafted from 100% polyester for lightweight comfort and moisture-wicking properties, perfect for running and training.",https://m.media-amazon.com/images/I/51mLzJEknrL._AC_SX679_.jpg,https://amzn.to/3E8EKVX
11,adidas Women's Own the Run Tank,adidas,"black,pink","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",28,polyester,yes,no_sleeves,hip_length,"reflective_details,lightweight,quick_dry",7.9743,"Adidas Women's Own The Run Long Sleeve T-Shirt in Black, featuring moisture-absorbing AEROREADY technology, reflective elements, and a comfortable regular fit.",https://m.media-amazon.com/images/I/410nNICNU0L._AC_SX679_.jpg,https://amzn.to/4ckMX6b
12,CRZ YOGA Seamless Workout Tops for Women Short Sleeve,crz_yoga,"black,blue,pink,gray,red,white","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",24,polyester,no,short,hip_length,quick_dry,8.9605,"CRZ YOGA Women's Seamless Athletic Long Sleeve Shirt in Black, featuring moisture-wicking, seamless fabric, and a comfortable slim fit design.",https://m.media-amazon.com/images/I/71EzhTSXdQL._AC_SX569_.jpg,https://amzn.to/4ckYRg5
13,baleaf Women's Short Sleeve,baleaf,"red,blue,black,gray,pink,white","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",23,"polyester,spandex",no,short,hip_length,"reflective_details,lightweight,quick_dry",9.3449,"Baleaf Women's Short Sleeve Crew Neck Workout Top in various colors, featuring moisture-wicking fabric for optimal comfort during workouts, and reflective elements for visibility.",https://m.media-amazon.com/images/I/61AGT94DvTL._AC_SY741_.jpg,https://amzn.to/42l7tPy
14,Nike Womens Pro Allover Mesh Short Sleeve Top 2.0,nike,"blue,black,red,green,white,gray","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",32,"polyester,spandex",yes,short,hip_length,"lightweight,quick_dry",7.7561,"Nike Women's Pro Allover Mesh Short Sleeve Top 2.0 in Black, featuring breathable mesh fabric and a slim fit design for optimal comfort during workouts.",https://m.media-amazon.com/images/I/41CzwbbJSJL._AC_SY741_.jpg,https://amzn.to/4chwEa6
15,CRZ YOGA Pima Cotton Cropped Workout Tank Top,crz_yoga,"black,yellow,red,green,beige,black,gray,blue,pink","female,non_binary","hot,windy,rainy,humid","minimum,medium",20,"cotton,spandex",no,no_sleeves,crop,lightweight,9.2381,"CRZ YOGA Pima Cotton Cropped Workout Tank Top, featuring a soft blend of Pima cotton and elastane for comfort, perfect for workouts or casual wear.",https://m.media-amazon.com/images/I/71phVEHphvL._AC_SX569_.jpg,https://amzn.to/4je7CLi
16,MathCat Seamless Workout Shirts for Women Long Sleeve,mathcat,"black,yellow,red,green,beige,black,gray,blue,pink,orange,white","female,non_binary","cold,windy,rainy","minimum,medium,max",28,nylon,no,long,hip_length,"lightweight,quick_dry",8.659,"MathCat Seamless Long Sleeve Workout Shirt for Women, featuring a breathable Nylon-Spandex blend with thumbholes, ideal for yoga, running, and gym workouts.",https://m.media-amazon.com/images/I/71lhIq6EYdL._AC_SY741_.jpg,https://amzn.to/42kGBz1
17,G4Free Women's UPF 50+ UV Shirts Long Sleeve,g4free,"black,yellow,red,green,beige,black,gray,blue,pink,orange,white","female,non_binary","cold,windy,rainy","minimum,medium,max",24,"polyester,spandex",no,long,"hip_length,long","lightweight,sun_protection,quick_dry",9.1116,"G4Free Women's Long Sleeve UV Protection Shirt, featuring UPF 50+ sun protection, lightweight and breathable fabric, perfect for outdoor activities like hiking, running, and yoga.",https://m.media-amazon.com/images/I/61qQk-MdgFL._AC_SX569_.jpg,https://amzn.to/4cv4kBm
18,CRZ YOGA Butterluxe Workout Tank Top,crz_yoga,"black,red,pink,green,beige,white,gray","female,non_binary","hot,windy,rainy,humid",minimum,32,"nylon,spandex",no,no_sleeves,hip_length,built_in_bra,9.3423,"CRZ YOGA Butterluxe Workout Tank Top, made from a blend of 81% Polyamide and 19% Lycra for exceptional softness and stretch, perfect for yoga and daily wear.",https://m.media-amazon.com/images/I/71jcJmxsqfL._AC_SX569_.jpg,https://amzn.to/4jhGz1B
19,Arc'teryx Taema Crew Neck Shirt SS Women's,arcteryx,"gray,white,blue","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",70,polyester,yes,short,hip_length,"lightweight,sun_protection,anti_odor,quick_dry",8.1156,"Arc'teryx Taema Crew Neck Shirt SS Women's, crafted from 100% recycled Phasic LT polyester, offering superior moisture-wicking and breathability for active outdoor pursuits.",https://m.media-amazon.com/images/I/71XrmYLduyL._AC_SL1500_.jpg,https://amzn.to/4jdzcIF
20,CRZ YOGA Womens Seamless Ribbed Longline High Neck Sports Bra - Racerback Padded Slim Fit Crop Tank Top,crz_yoga,"black,gray,purple,red,blue,pink,green,white,yellow,beige","female,non_binary","hot,humid","minimum,medium",28,polyester,no,no_sleeves,crop,"lightweight,quick_dry,built_in_bra",8.2643,"CRZ YOGA Women's Seamless Ribbed Longline High Neck Sports Bra in deep red, featuring a racerback design, built-in padded shelf bra, and cropped slim fit for versatile workouts.",https://m.media-amazon.com/images/I/71DPCjCotsL._AC_SX569_.jpg,https://amzn.to/3EyjmcL
21,adidas Women's Training Essentials Minimal Branding Racerback,adidas,"black,pink","female,non_binary","hot,humid","minimum,medium",24,polyester,yes,no_sleeves,hip_length,"lightweight,quick_dry",6.744,"adidas Women's Train Essentials Minimal Branding Racerback Tank Top in black, featuring a lightweight, moisture-wicking fabric and a comfortable regular fit.",https://m.media-amazon.com/images/I/71kXJOl-L7L._AC_SX569_.jpg,https://amzn.to/3G7jssy
22,"Brooks Women's 3 Pocket Sports Bra for Running, Workouts & Sports",brooks,"blue,purple,orange,red,black,pink,yellow,white","female,non_binary","hot,humid,windy","minimum,medium,max",55,"polyester,spandex",no,no_sleeves,crop,"quick_dry,anti_odor,built_in_bra",7.8632,"Brooks Women's 3 Pocket Sports Bra in black, featuring a racerback design with three storage pockets, ideal for running and high-impact workouts.",https://m.media-amazon.com/images/I/51ltGiKJY4L._AC_SX679_.jpg,https://amzn.to/3YCPZNh
23,baleaf Women's Long Sleeve Running Shirts Quick Dry Lightweight Pullover,baleaf,"blue,black,gray,pink,purple,white,red","female,non_binary","cold,windy","minimum,medium,max",30,"polyester,spandex",no,long,"hip_length,long","lightweight,sun_protection,quick_dry,reflective_details",8.954,"BALEAF Women's Long Sleeve Running Shirt in black, featuring lightweight, quick-dry fabric with UPF 50+ sun protection and reflective details for enhanced visibility.",https://m.media-amazon.com/images/I/71YUvpNmejL._AC_SY550_.jpg,https://amzn.to/4jwF7Jz
