shoeid,product_name,brand,shoecolor,gender,distance,terrain,price,ecofriendly,stackheight,stability,shoeweight,heeltoedrop,shoe_preference,preferencescore,description,image,link
1,New Balance Women's FuelCell SuperComp Elite V4 Running Shoe,new_balance,"white,yellow,orange,blue","female,non_binary","medium,max",road,200,no,40,neutral,9.6,6,"carbon_plate,wide_foot",6.525,"The New Balance FuelCell SuperComp Trainer v3 is a high-stack, carbon-plated running shoe built for road training and long distances. Ideal for marathon prep, it combines plush cushioning with responsive propulsion for runners seeking max mileage performance.",https://m.media-amazon.com/images/I/51FbgczLf1L._AC_SY625_.jpg,https://amzn.to/4iNRbp9
2,HOKA Women's Bondi 9 Sneaker,hoka,"purple,black,white,green,orange,gray","female,non_binary","minimum,medium,max","road, treadmill, track",170,no,33,neutral,8,4,wide_foot,6.954,"The HOKA Women's Bondi 9 Sneaker offers exceptional cushioning and support, featuring a 3D molded collar, structured knit upper with zonal breathability, and Durabrasion rubber for enhanced durability. Ideal for road, treadmill, and track running, it provides a soft, resilient ride for daily miles.",https://m.media-amazon.com/images/I/61gO6xdqY6L._AC_SY625_.jpg,https://amzn.to/3QYNWPy
3,Brooks Women’s Hyperion Max 2 Neutral Running Shoe,brooks,"white,blue,black","female,non_binary","medium,max",road,180,no,39,neutral,8.5,8,"carbon_plate,wide_foot",6.615,"The Brooks Women's Hyperion Max 2 is a high-performance running shoe featuring nitrogen-infused DNA FLASH v2 cushioning and a SpeedVault Plate for responsive speed. Designed for road, treadmill, and track running, it offers an 8mm drop and weighs approximately 8.5 ounces.",https://m.media-amazon.com/images/I/71CgLTZLKDL._AC_SY625_.jpg,https://amzn.to/4jb3z2f
4,Saucony Women's Endorphin Pro 4 Running Shoe,saucony,"white,yellow,black,purple,blue","female,non_binary","medium,max",road,224,yes,39.5,neutral,6.5,8,carbon_plate,6.5695,"The Saucony Women's Endorphin Pro 4 is a carbon-plated racing shoe featuring PWRRUN HG and PWRRUN PB foams for a responsive ride. Designed for road and track running, it offers an 8mm drop and weighs approximately 6.5 ounces.",https://m.media-amazon.com/images/I/71CQ3ER42UL._AC_SX625_.jpg,https://amzn.to/4ifQ3tD
5,ASICS Women's NOVABLAST 5 Running Shoes,asics,"white,blue,yellow,purple,black","female,non_binary","minimum,medium,max","road, treadmill, track",140,yes,40.5,neutral,7.9,8,wide_foot,6.5815,"The ASICS Women's NOVABLAST 5 offers a blend of cushioning and responsiveness, featuring FF BLAST MAX foam and a carbon plate. With a roomier toe box and available in wide sizes, it's designed for comfort across various distances.",https://m.media-amazon.com/images/I/51s7TJI8zrL._AC_SY625_.jpg,https://amzn.to/3Ei3g76
6,ASICS Women's Gel-Kayano 31 Running Shoes,asics,"black,green,blue,gray,pink,red,orange,beige,white","female,non_binary","minimum,medium,max","road, treadmill, track",165,yes,40,stability,9,10,"wide_foot,carbon_plate",7.265,"The ASICS Gel-Kayano 31 is a high-mileage stability trainer with advanced cushioning, a secure fit, and eco-conscious materials. Perfect for road runners seeking daily comfort and long-run support.",https://m.media-amazon.com/images/I/618M7I-CWVL._AC_SY625_.jpg,https://amzn.to/44jUWhE
7,HOKA ONE ONE Arahi 7 Womens Shoes,hoka,"black,white,beige,gray,blue","female,non_binary","minimum,medium,max","road, treadmill, track",170,yes,37,stability,8.9,5,"wide_foot,wide_toe_box",6.9,"The HOKA ONE ONE Arahi 7 is a supportive stability shoe featuring J-Frame technology and early-stage Meta-Rocker for smooth transitions. Designed for comfort and durability, it’s perfect for road runners seeking reliable support on longer distances.",https://m.media-amazon.com/images/I/51hGIDTQiDL._AC_SX625_.jpg,https://amzn.to/43Js42e
8,New Balance womens Fresh Foam X 1080 V14 Running Shoe,new_balance,"black,white,blue,yellow,pink,green,gray,beige","female,non_binary","minimum,medium,max","road, treadmill, track",165,no,38,neutral,8.3,6,"wide_foot,wide_toe_box",7.31,"The New Balance Fresh Foam X 1080 V14 is a premium neutral trainer with a plush Fresh Foam midsole, breathable mesh upper, and wide-foot-friendly fit. Ideal for road runners seeking soft cushioning over any distance.",https://m.media-amazon.com/images/I/51dgTfpYDiL._AC_SY625_.jpg,https://amzn.to/3RgREnP
9,HOKA ONE ONE Women's Mafate Speed 4 Sneaker,hoka,"blue,green,purple,black,red,gray,pink","female,non_binary","minimum,medium,max",trail,154,yes,33,neutral,9.4,4,none,6.965,"The HOKA Mafate Speed 4 is a rugged trail running shoe built for technical terrain, offering plush cushioning, durable Vibram® Megagrip traction, and eco-conscious construction for long-distance adventures.",https://m.media-amazon.com/images/I/61oAnvxDgGL._AC_SX625_.jpg,https://amzn.to/4cwXviL
10,On Women's Cloudmonster Sneakers,on,"white,yellow,gray,red,green,black,orange,purple,pink","female,non_binary","minimum,medium,max","road, treadmill, track",175,yes,38,neutral,8.1,6,none,7.48,"The On Women's Cloudmonster delivers max cushioning with Helion Superfoam and a unique rocker design, ideal for daily road miles and long-distance comfort.",https://m.media-amazon.com/images/I/51bbsez76RL._AC_SY625_.jpg,https://amzn.to/4jxHyLw
11,New Balance Men's FuelCell Supercomp Elite V4 Running Shoe,new_balance,"blue,white,orange","mens,non_binary","medium,max",road,250,no,47,neutral,10.2,4,"carbon_plate,wide_foot",6.637,"The New Balance FuelCell SuperComp Trainer V2 is a high-mileage training shoe featuring FuelCell foam and a carbon fiber plate for a propulsive feel. Designed for road running, it offers a 4mm drop and weighs approximately 10.2 ounces.",https://m.media-amazon.com/images/I/51K1moxHdbL._AC_SY625_.jpg,https://amzn.to/41VljJi
12,HOKA Men's Bondi 9 Sneaker,hoka,"black,gray,blue,green,orange,white","mens,non_binary","minimum,medium,max","road,treadmill,track",155,no,43,neutral,10.5,5,"wide_foot,wide_toe_box",7.1975,"The Hoka Bondi 9 offers maximum cushioning and support for runners and walkers alike. With a 5mm heel-to-toe drop and weighing approximately 10.5 ounces, it's ideal for long-distance activities on roads and treadmills.",https://m.media-amazon.com/images/I/71zk0omgzEL._AC_SY625_.jpg,https://amzn.to/3QVacKd
13,Brooks Men’s Hyperion Max 2 Neutral Running Shoe,brooks,"blue,black,white","mens,non_binary","medium,max",road,180,no,35,neutral,7.8,8,"wide_toe_box,carbon_plate",6.513,"The Brooks Men's Hyperion offers a lightweight and responsive ride, featuring nitrogen-infused DNA FLASH foam and a breathable upper. Ideal for road, track, and treadmill running, it provides a 8mm drop and weighs approximately 7.8 ounces.",https://m.media-amazon.com/images/I/71CgLTZLKDL._AC_SY625_.jpg,https://amzn.to/445WsE0
14,Saucony Men's Endorphin Pro 4 Running Shoe,saucony,"white,yellow,black,purple,blue,green,orange,red","mens,non_binary","medium,max",road,225,yes,39.5,neutral,7.5,8,carbon_plate,6.8185,"Saucony Men's Endorphin Pro 4 Running Shoe – a lightweight, high-performance racing shoe designed for speed, featuring a carbon-fiber plate for propulsion, responsive PWRRUN PB cushioning for maximum energy return, and an engineered mesh upper for breathability and comfort during races.",https://m.media-amazon.com/images/I/71ZmJebQPxL._AC_SX625_.jpg,https://amzn.to/42ep2kg
15,ASICS Men's NOVABLAST 5 Running Shoes,asics,"black,blue,gray,green,orange,purple","mens,non_binary","minimum,medium,max","road,treadmill,track",140,yes,41.5,neutral,8.8,8,wide_foot,7.144,"The ASICS NOVABLAST 5 is a daily trainer featuring FF BLAST+ ECO cushioning and engineered mesh. Lightweight and eco-conscious, it’s built for comfort and bounce over daily miles, tempos, and long runs.",https://m.media-amazon.com/images/I/61kAFNVlDmL._AC_SY625_.jpg,https://amzn.to/4i5BF6Z
16,HOKA Mach 6 Mens Shoes,hoka,"black,green,white","mens,non_binary","minimum,medium,max","road,treadmill,track",170,yes,39,neutral,8.1,5,wide_foot,6.854,"HOKA Mach 6 men's running shoes deliver a lightweight, responsive ride with PROFLY+ cushioning for a smooth and energetic stride.",https://m.media-amazon.com/images/I/51TOrItPofL._AC_SX625_.jpg,https://amzn.to/4iNZAZP
