bottomid,product_name,brand,bottomcolor,gender,weather,distance,price,allergies,ecofriendly,inseam,typebottoms,bottom_preference,preferencescore,description,image,link
1,Blooming Jelly Women's Quick-Dry Running Shorts,blooming_jelly,"black,white,gray,blue,pink,yellow,green,red","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",20,"polyester,spandex",no,short,shorts,"high_rise,liner,pockets",7.4876,"Blooming Jelly Women's Quick-Dry Running Shorts – lightweight, breathable workout shorts with a stretchy high-waisted band, built-in spandex liner, side slit for ease of movement, and a zippered pocket for essentials.",https://m.media-amazon.com/images/I/61VDEOx0iLL._AC_SY741_.jpg,https://amzn.to/4iPgxTz
2,THE GYM PEOPLE Womens High Waisted Running Shorts,the_gym_people,"black,white,gray,blue,pink,yellow,green,red,orange","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",20,"polyester,spandex",no,short,shorts,"high_rise,liner,pockets",7.254,"THE GYM PEOPLE Women's High Waisted Running Shorts – quick-dry, moisture-wicking shorts with a built-in liner for extra coverage, wide elastic waistband for tummy control, side slits for mobility, and hidden pockets for essentials.",https://m.media-amazon.com/images/I/61Hlg8cB8FL._AC_SX679_.jpg,https://amzn.to/4lcI3vW
3,Under Armour Women's HeatGear Armour High No-Slip Waistband Pocketed Leggings,under_armour,"black,blue,gray,green,pink,red","female,non_binary","windy,rainy,cold","minimum,medium,max",42,polyester,no,long,tights_leggings,"high_rise, pockets",8.679,"Under Armour Women's HeatGear Armour High No-Slip Waistband Pocketed Leggings in black, featuring a high-rise waistband, compression fit, and a side drop-in pocket. Made from HeatGear fabric suitable for warm-weather workouts.",https://m.media-amazon.com/images/I/412KWGKQRnL._AC_SX679_.jpg,https://amzn.to/4jbMUMv
4,CRZ YOGA Women's Running Shorts Low Waisted 2.5,crz_yoga,"black,red,green,purple,pink,gray,beige,yellow,blue,white","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",28,polyester,no,short,shorts,"low_rise, liner, pockets",7.9582,"CRZ YOGA Women's Running Feathery-Fit Low Rise Lined Shorts in black, featuring a low-rise waistband with inner drawstring, 2.5-inch inseam, built-in mesh liner, and side zipper pocket. Made from a soft, quick-drying polyester-elastane blend suitable for active wear.",https://m.media-amazon.com/images/I/91j5wU8slJL._AC_SX569_.jpg,https://amzn.to/4iUu50a
5,G Gradual Women's Fleece Lined Joggers High Waisted,g_gradual,"black,gray,green,blue,red,white,beige,yellow,purple","female,non_binary","windy,rainy,cold","minimum,medium,max",36,"polyester,spandex",no,long,pants,"thermal, high_rise, pockets",8.0605,"G Gradual Women's Fleece Lined Joggers in black, featuring a high-rise waistband with adjustable drawcord, fleece lining for warmth, water-resistant exterior, and zippered pockets. Made from a polyester-spandex blend suitable for winter activities.",https://m.media-amazon.com/images/I/61kg1iWpoOL._AC_SY741_.jpg,https://amzn.to/42pEpGE
6,Nike womens Leggings,nike,black,"female,non_binary","windy,rainy,cold","minimum,medium,max",62,polyester,no,long,"capris,tights_leggings","pockets,high_rise",7.6516,"Nike Women's Running Tights in black, featuring a wide waistband with internal drawcord, multiple pockets for essentials, and Dri-FIT technology for moisture-wicking. Made from a polyester-spandex blend suitable for running and training.",https://m.media-amazon.com/images/I/71vBBz+4v0L._AC_SX569_.jpg,https://amzn.to/423folA
7,"Women's Athletic Shorts – 5"" Seamless Biker Shorts",shocsox,"black,green,yellow","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",25,"polyester,spandex",yes,medium,shorts,"high_rise, pockets",7.3329,"ShocSox High-Waisted Volleyball Shorts in black, featuring a compression fit, high-rise waistband, and side pockets. Made from 77% recycled polyester and 23% spandex, suitable for volleyball and other athletic activities.",https://m.media-amazon.com/images/I/71jmW3PLsaL._AC_SX679_.jpg,https://amzn.to/3EmYEfR
8,"Amazon Essentials Short Leggings for Women, Active Sculpt, Mid Rise Capri",amazon_essentials,"black,blue,pink,green","female,non_binary","windy,rainy,cold","minimum,medium,max",19,polyester,no,long,"capris,tights_leggings",mid_rise,8.0977,"Amazon Essentials Women's Active Sculpt Mid Rise Capri Legging in black, featuring a mid-rise waistband and cropped length, made from 74% polyester and 26% elastane, suitable for workouts and casual wear.",https://m.media-amazon.com/images/I/61fmJQDSsNL._AC_SX679_.jpg,https://amzn.to/4ckDUC0
9,Lululemon Align Full Length Yoga Pants - High-Waisted Design,lulu_lemon,"blue,black","female,non_binary","windy,rainy,cold",minimum,128,spandex,no,long,tights_leggings,high_rise,8.3552,"Lululemon Align Full Length Yoga Pants in black with a high-rise waistband and 28-inch inseam, designed with buttery-soft Nulu fabric for comfort and stretch during yoga or everyday wear.",https://m.media-amazon.com/images/I/71srsUKtDkL._AC_SL1500_.jpg,https://amzn.to/3Rb9hW4
10,"Nike Dri-FIT Stride Run Division Men's 5"" Shorts",nike,"green,red","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",108,"nylon,spandex",no,medium,shorts,"liner,pockets",7.2541,"Nike Dri-FIT Stride Run Division Men’s 5-inch running shorts in burgundy, featuring a built-in brief liner, lightweight Dri-FIT fabric, and secure zippered pocket on back waistband.",https://m.media-amazon.com/images/I/61i0znB4sBL._AC_SX679_.jpg,https://amzn.to/42d5jRE
