hatid,product_name,brand,hatcolor,gender,weather,distance,price,allergies,ecofriendly,designpreference,hatfeatures,preferencescore,description,image,link
1,adidas Women's Superlite Hat,adidas,"white,black,beige,pink,green,blue",female,"hot,humid,windy,rainy","minimum,medium,max",16,"polyester,spandex",no,casual,"adjustable,lightweight,breathable,machine_washable,ponytail_compatible",8.2409,"Lightweight, breathable workout cap featuring moisture-wicking fabric, UPF 50 sun protection, and adjustable hook-and-loop closure for a comfortable fit.",https://m.media-amazon.com/images/I/61sdogszbMS._AC_SX679_.jpg,https://amzn.to/4i0aJp5
2,Under Armour Women's Iso-chill Launch Run Adjustable Hat,under_armour,"pink,white,black",female,"hot,humid,windy,rainy","minimum,medium,max",24,polyester,no,"minimal,casual","adjustable,lightweight,breathable,ponytail_compatible",5.0854,"Lightweight running hat with breathable mesh panels, cooling Iso-Chill sweatband, 4-way stretch, and snag-free adjustable closure with reflective logo.",https://m.media-amazon.com/images/I/51VSDp+eDzL._AC_SX679_.jpg,https://amzn.to/4i8XLWd
3,Nike Dri-FIT Moisture-Wicking Performance Swoosh Cap,nike,"black,white,red,blue,gray","mens,female,non_binary","hot,humid,windy,rainy","minimum,medium",30,polyester,no,"minimal,casual","adjustable,machine_washable,ponytail_compatible",4.6423,"Black Nike cap featuring moisture-wicking fabric, adjustable strap, and embroidered Swoosh logo.",https://m.media-amazon.com/images/I/51wEAbsVohL._AC_SX679_.jpg,https://amzn.to/3RzxXaL
4,ASICS Unisex 5 PANEL CAP,asics,"black,white,blue,gray,green","mens,female,non_binary","hot,humid,windy,rainy","minimum,medium,max",40,polyester,no,casual,"adjustable,lightweight,machine_washable,ponytail_compatible,breathable,flat_brim",4.8339,"Streamlined, lightweight running cap with a sleek design for comfort, breathable fit, and enhanced performance during high-impact runs.",https://m.media-amazon.com/images/I/61QWbU9qSzL._AC_SX679_.jpg,https://amzn.to/42oqTDb
5,Ciele Athletics GOCap C Plus Box,ciele,"green,red,beige,blue,orange,pink","mens,female,non_binary","hot,humid,windy,rainy","minimum,medium,max",40,polyester,yes,minimal,"adjustable,sun_protection,lightweight,breathable,quick_dry,machine_washable,water_resistant,ponytail_compatible,flat_brim",5.6378,"Reflective, packable running hat with moisture-wicking Coolmatic fabric, UPF 40 sun protection, soft brim, and race-tested comfort for men and women.",https://m.media-amazon.com/images/I/613v3lx9+6L._AC_SX679_.jpg,https://amzn.to/3YjtJYB
6,New Balance Lightweight Running/Athletic Hat,new_balance,black,"mens,female,non_binary","windy,rainy,cold","minimum,medium,max",20,"polyester,spandex",no,"casual,minimal","lightweight,breathable,machine_washable",7.4378,"Black fleece beanie with a snug pull-on fit, lightweight warmth, and machine-washable fabric for cold-weather runs.",https://m.media-amazon.com/images/I/81xgFgA1zNL._AC_SX679_.jpg,https://amzn.to/3Eb8cuu
7,Brooks Unisex Chaser Hat,brooks,"white,black,blue,red","mens,female,non_binary","hot,humid,windy,rainy","minimum,medium,max",32,"polyester,spandex",yes,"minimal,bold","adjustable,lightweight,machine_washable,ponytail_compatible",5.5384,"Lightweight running cap with a curved brim, breathable perforations, adjustable back strap, and stretchy recycled fabric for a comfy fit.",https://m.media-amazon.com/images/I/71yLVc8VcbL._AC_SX679_.jpg,https://amzn.to/3YmLmH5
8,Reebok Running Hat,reebok,blue,"mens,female,non_binary","hot,humid,windy,rainy","minimum,medium,max",28,polyester,yes,bold,"adjustable,lightweight,quick_dry,sun_protection,ponytail_compatible,flat_brim",5.7917,"Lightweight 5-panel cap made from recycled polyester with quick-dry, moisture-wicking tech, sun protection, a crushable brim, and adjustable fit.",https://m.media-amazon.com/images/I/71g6SBAW6uL._AC_SX679_.jpg,https://amzn.to/4iXqnTq
9,Sukeen Lightweight Sun Hat,sukeen,"blue,black,green,pink,white,yellow","mens,female,non_binary","hot,humid,windy,rainy","minimum,medium,max",13,"polyester,nylon",no,"minimal,casual","adjustable,lightweight,machine_washable,ponytail_compatible,sun_protection,quick_dry",5.4137,"Quick-drying, foldable running cap with UPF 50+ sun protection, breathable fabric, and a unisex design for outdoor workouts and daily wear.",https://m.media-amazon.com/images/I/71tGrOL3XGL._AC_SX679_.jpg,https://amzn.to/3Rzf7AG
10,Coal Provo 5-Panel Lightweight Hat,coal,"blue,black,white,orange,red,beige,pink,yellow,green","mens,female,non_binary","hot,humid,windy,rainy","minimum,medium,max",40,polyester,yes,"minimal,casual,bold","adjustable,lightweight,machine_washable,ponytail_compatible,sun_protection,quick_dry,breathable,flat_brim",6.7666,"Stylish and breathable 5-panel cap with a lightweight design, perfect for outdoor activities and casual wear.",https://m.media-amazon.com/images/I/71PI3kxXjGL._AC_SX679_.jpg,https://amzn.to/4iZRv4q
